Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million),Budget collect, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
Easy A,85,72,78.5,75,73,2,74,4.5,comedy,"comedy, romance",adaptation,17.7,"1,77,00,000",58.4,"5,84,00,000",16.6,"1,65,50,000","7,49,50,000",75,22.08%,8,937%,221.25%,2010,,,http://www.amazon.com/gp/product/B008Y6Y1RA/?tag=titb-20
Mamma Mia!,53,51,52.0,76,72,4,74,-22.0,comedy,"comedy, musical, romance",adaptation,27.8,"2,77,50,000",144.1,"14,41,30,000",465.7,"46,57,10,000","60,98,40,000",610,76.37%,66,924%,42.05%,2008,,,http://www.amazon.com/gp/product/B001N4RORE/?tag=titb-20
Ice Age: Continental Drift,37,49,43.0,63,60,3,61.5,-18.5,animation,"animation, adventure, comedy",sequel,46.6,"4,66,29,259",161.3,"16,13,21,843",715.9,"71,59,22,939","87,72,44,782",877,81.61%,95,923%,49.08%,2012,,,http://www.amazon.com/gp/product/B00APUQT7I/?tag=titb-20
American Sniper,73,72,72.5,86,66,20,76,-3.5,action,"action, biography, drama, war",based on a true story ,89.3,"8,92,69,066",348.3,"34,82,95,276",193.4,"19,34,00,000","54,16,95,276",542,35.70%,59,918%,151.30%,2014,Oscar Winner,,http://www.amazon.com/gp/product/B00RFHVCFI/?tag=titb-20
The Strangers,44,47,45.5,48,64,-16,56,-10.5,horror,"horror, mystery, thriller",original screenplay,21.0,"2,09,90,000",52.6,"5,26,00,000",29.8,"2,97,90,000","8,23,90,000",82,36.16%,9,915%,233.22%,2008,,,http://www.amazon.com/gp/product/B001LM144M/?tag=titb-20
Meet the Blacks,13,26,19.5,26,11,15,18.5,1.0,Comedy,Comedy,original screenplay,4.1,"40,55,940",9.1,"90,97,072",0.0,0,"90,97,072",9,0.00%,1,910%,405.59%,2016,,,https://www.amazon.com/Meet-Blacks-Mike-Epps/dp/B01J6UKR98/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218139&sr=1-1&keywords=Meet+the+Blacks
Taken ,58,50,54.0,83,77,6,80,-26,action,"action, crime, thriller",original screenplay,24.7,"2,47,00,000",145.0,"14,50,00,000",81.8,"8,18,00,000","22,68,00,000",227,36.07%,25,907%,98.80%,2009,,,http://www.amazon.com/gp/product/B004F1F32A/?tag=titb-20
Hunt for the Wilderpeople,98,81,89.5,91,77,14,84,5.5,Comedy,Comedy,adaptation,0.1,"78,439",5.2,"52,05,471",17.5,"1,74,60,077","2,26,65,548",23,77.03%,3,907%,3.14%,2016,,,https://www.amazon.com/Hunt-Wilderpeople-Sam-Neill/dp/B01HE1H3WK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481217934&sr=1-1&keywords=Hunt+for+the+Wilderpeople
Blair Witch,36,47,41.5,34,50,-16,42,-0.5,Horror,Horror,sequel,9.6,"95,76,057",20.8,"2,07,77,061",24.4,"2,43,52,790","4,51,29,851",45,53.96%,5,903%,191.52%,2016,,,https://www.amazon.com/Blair-Witch-James-Allen-McCune/dp/B01LR17RHE/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218609&sr=1-1&keywords=Blair+Witch
The Karate Kid,66,61,63.5,75,68,7,71.5,-8,action,"action, family, sport",remake / reboot,55.7,"5,57,00,000",176.6,"17,65,90,000",182.5,"18,25,30,000","35,91,20,000",359,50.83%,40,898%,139.25%,2010,,,http://www.amazon.com/gp/product/B0046U4KG0/?tag=titb-20
Bad Moms,59,60,59.5,67,50,17,58.5,1.0,Comedy,Comedy,original screenplay,23.8,"2,38,17,340",113.3,"11,32,57,297",66.1,"6,61,00,000","17,93,57,297",179,36.85%,20,897%,119.09%,2016,,,https://www.amazon.com/Bad-Moms-Mila-Kunis/dp/B01J2KCK6A/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219400&sr=1-1&keywords=Bad+Moms
Five Feet Apart,55,53,54,80,74,6,77,-23,Drama,"Drama, Romance",adaptation,13.2,"1,31,90,286",41.5,"4,14,71,489",21.0,"2,10,00,000","6,24,71,489",62,33.62%,7,892%,188.43%,2019,,,https://www.amazon.co.uk/Five-Feet-Apart-Cole-Sprouse/dp/B07SQBRBMG/ref=sr_1_1?crid=1PLGCVBTO8E5M&keywords=five+feet+apart&qid=1577973436&s=instant-video&sprefix=Five+Feet+Apart2Cinstant-video2C150&sr=1-1
A Dog's Purpose,33,43,38,73,59,14,66,-28,comedy,"comedy, drama",adaptation,18.2,"1,82,22,810",64.3,"6,43,21,890",131.9,"13,18,78,234","19,62,00,124",196,67.22%,22,892%,82.83%,2017,,,https://www.amazon.co.uk/Dogs-Purpose-Josh-Gad/dp/B071RN7MPQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977726&sr=1-1&keywords=A+Dog27s+Purpose
The Hunger Games,84,67,75.5,81,70,11,75.5,0,adventure,"adventure, sci-fi, thriller",adaptation,152.5,"15,25,35,747",408.0,"40,80,10,692",283.2,"28,32,37,076","69,12,47,768",691,40.97%,78,886%,195.56%,2012,,,http://www.amazon.com/gp/product/B008Z9YLV2/?tag=titb-20
Ouija: Origin of Evil,82,65,73.5,61,74,-13,67.5,6.0,Horror,Horror,sequel,14.1,"1,40,65,500",34.3,"3,43,36,765",44.6,"4,45,91,598","7,89,28,363",79,56.50%,9,877%,156.28%,2016,,,https://www.amazon.com/Ouija-Origin-Evil-Elizabeth-Reaser/dp/B01MAUT9TJ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218889&sr=1-1&keywords=Ouija3A+Origin+of+Evil
The Kids Are All Right,94,86,90,72,73,-1,72.5,17.5,comedy,comedy,original screenplay,3.5,"35,00,000",20.8,"2,08,10,000",13.9,"1,38,90,000","3,47,00,000",35,40.03%,4,868%,87.50%,2010,,,http://www.amazon.com/gp/product/B0046UGSNS/?tag=titb-20
Step Up 2: The Streets,26,50,38.0,81,75,6,78,-40,romance,"music, romance",sequel,18.9,"1,89,10,000",58.0,"5,80,20,000",92.8,"9,28,00,000","15,08,20,000",151,61.53%,18,862%,108.06%,2008,,,http://www.amazon.com/gp/product/B003SHYVO8/?tag=titb-20
