Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million),Budget collect, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
Shame,80,72,76,80,79,1,79.5,-3.5,drama,drama,original screenplay,0.3,"3,40,000",3.1,"30,90,000",13.8,"1,37,84,000","34,30,003",3,401.87%,7,53%,5.23%,2011,,,http://www.amazon.com/gp/product/B007UXT6O6/?tag=titb-20
Brittany Runs a Marathon,89,72,81,87,56,31,72,9,Drama,Drama,original screenplay,0.2,"1,80,711",7.1,"71,36,342",0.3,"2,50,420","73,86,762",7,3.39%,14,53%,1.29%,2019,,,https://www.amazon.co.uk/Brittany-Runs-Marathon-Jillian-Bell/dp/B081BBHVM3/ref=sr_1_2?crid=324ZABJ257CHX&keywords=brittany+runs+a+marathon&qid=1577973233&s=instant-video&sprefix=Brittany+Runs+a+Marathon2Cinstant-video2C208&sr=1-2
Thoroughbreds,87,75,81,68,70,-2,69,12,Drama,Drama,original screenplay,1.2,"12,24,430",2.8,"28,30,775",0.0,0,"28,30,775",28,0,5,52%,22.67%,2018,,,https://www.amazon.com/Thoroughbreds-Olivia-Cooke/dp/B07B8FHHKR/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970766&sr=1-2&keywords=Thoroughbreds
"Roman J. Israel, Esq.",50,58,54,66,63,3,64.5,-11,action,"action, adventure",original screenplay,0.1,"61,999",11.5,"1,15,32,128",0.0,0,"1,15,32,128",12,0.00%,22,52%,0.28%,2017,,,https://www.amazon.co.uk/Roman-Israel-Esq-Denzel-Washington/dp/B0792J765W/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980015&sr=1-1&keywords=Roman+J.+Israel2C+Esq.
Monster Trucks,31,41,36,51,54,-3,52.5,-17,action,"action, comedy",original screenplay,11.0,"1,09,50,705",33.4,"3,33,70,166",31.1,"3,11,23,749","6,44,93,915",64,48.26%,125,52%,8.76%,2017,,,https://www.amazon.co.uk/Monster-Trucks-Lucas-Till/dp/B01NGZ43CU/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978633&sr=1-1&keywords=Monster+Trucks
Motherless Brooklyn,61,60,61,80,51,29,66,-5,Drama,Drama,adaptation,3.5,"35,00,454",9.2,"92,00,043",4.2,"42,00,000","1,34,00,043",13,31.34%,26,52%,13.46%,2019,,,https://www.amazon.co.uk/Motherless-Brooklyn-Edward-Norton/dp/B08288YXQG/ref=sr_1_1?crid=2WDFQA0C1R0LK&keywords=motherless+brooklyn+movie&qid=1577973787&s=instant-video&sprefix=Motherless+Brooklyn2Cinstant-video2C145&sr=1-1
Kill Your Darlings,76,65,70.5,60,67,-7,63.5,7,Biography,"Biography, Drama, Thriller, Romance",based on a true story,0.1,"53,452",1.0,"10,30,064",0.6,"6,00,000","10,30,065",1,58.25%,2,52%,2.67%,2013,,,http://www.amazon.com/gp/product/B00J2AJW76/?tag=titb-20
Vampire Academy,9,30,19.5,57,58,-1,57.5,-38,fantasy,fantasy,adaptation,3.9,"39,21,742",7.8,"77,91,979",7.6,"76,00,000","1,53,91,979",15,49.38%,30,51%,13.07%,2014,,,http://www.amazon.com/gp/product/B00JJH4GAU/?tag=titb-20
Battle of the Sexes,86,73,80,76,59,17,67.5,12,drama,sports,based on a true story,0.5,"5,18,332",12.6,"1,26,26,314",0.0,0,"1,26,26,314",13,0.00%,25,51%,2.07%,2017,,,https://www.amazon.co.uk/Battle-Sexes-Emma-Stone/dp/B0771YHP82/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981315&sr=1-1&keywords=Battle+of+the+Sexes
Foxcatcher,88,81,84.5,67,71,-4,69,15.5,drama,drama,based on a true story,0.3,"2,70,877",12.1,"1,20,96,300",6.9,"69,00,000","1,20,96,300",12,57.04%,24,50%,1.13%,2014,,,http://www.amazon.com/gp/product/B00R2LYXKI/?tag=titb-20
The Kid Who Would be King,90,66,78,64,59,5,62,17,Action,"Action, Adventure, Fantasy, Family",original screenplay,7.2,"71,73,887",16.8,"1,67,90,790",12.9,"1,29,19,249","2,97,10,039",30,43.48%,59,50%,12.16%,2019,,,https://www.amazon.co.uk/Kid-Who-Would-Be-King/dp/B07NRR5RCQ/ref=sr_1_1?keywords=The+Kid+Who+Would+be+King&qid=1557074019&s=instant-video&sr=1-1-catcorr
The Invasion,19,45,32,40,72,-32,56,-24,sci-fi,"sci-fi, thriller",adaptation,6.0,"59,51,409",15.1,"1,50,74,191",25.1,"2,50,96,367","4,01,70,558",40,62.47%,80,50%,7.44%,2007,,,http://www.amazon.co.uk/Invasion-Nicole-Kidman/dp/B00ET2GA72/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386645&sr=1-1&keywords=The+Invasion
Detroit,83,78,81,80,62,18,71,10,crime,"crime, drama","adaptation, based on a true story",0.4,"3,50,190",16.8,"1,67,90,139",0.0,0,"1,67,90,139",17,0.00%,34,49%,1.03%,2017,,,https://www.amazon.co.uk/Detroit-John-Boyega/dp/B074MS7TFB/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981497&sr=1-1&keywords=Detroit
The Space Between Us,16,33,25,55,44,11,49.5,-25,sci-fi,"sci-fi, adventure",original screenplay,3.8,"37,75,596",7.9,"78,85,294",6.9,"69,08,091","1,47,93,385",15,46.70%,30,49%,12.59%,2017,,,https://www.amazon.co.uk/Space-Between-Us-Asa-Butterfield/dp/B072HMVJ5M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977770&sr=1-1&keywords=The+Space+Between+Us
