Primary Genre,Budget collect,Budget ($million),Worldwide Gross ($million)
thriller,1143.8000000000006,3069.0,15247.0
comedy,1172.3000000000002,7989.0,22696.0
horror,14134.830000000004,1616.0,7320.0
romance,245.8399999999999,1320.0,4715.0
sci-fi,219.23999999999995,3837.0,13133.0
crime,82.64000000000001,1212.0,2642.0
