Year Interval,Genres
2016-2018,"thriller: 42, comedy: 78, horror: 34, romance: 15"
2007-2009,"horror: 29, romance: 18, comedy: 91, thriller: 15"
2013-2015,"horror: 18, thriller: 15, comedy: 52, romance: 4"
2010-2012,"horror: 26, comedy: 99, thriller: 15, romance: 18"
2019-2019,"thriller: 11, horror: 13, comedy: 19, romance: 3"
