Primary_Genre,Domestic gross ($million),Foreign Gross ($million)
action,45.49,83.96
adventure,54.71,78.6
comedy,9.87,8.11
crime,22.95,39.05
drama,19.79,24.35
fantasy,15.3,7
horror,22.72,26.52
romance,2.63,0.65
thriller,10.22,10.24
